INFO 2026-03-06 12:33:01,622 log 41892 41844 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-03-06 12:33:01,817 log 41892 22036 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2026-03-06 12:33:04,932 base 41892 22036 Session data corrupted
WARNING 2026-03-06 12:33:06,445 base 41892 41844 Session data corrupted
INFO 2026-03-06 12:33:07,392 basehttp 41892 22036 - Broken pipe from ('127.0.0.1', 65435)
INFO 2026-03-06 12:33:08,598 log 41892 41844 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-03-06 12:33:08,694 log 41892 41844 "GET /admin/ HTTP/1.1" 200 14949
INFO 2026-03-06 12:33:08,709 log 41892 41844 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-03-06 12:33:08,874 log 41892 41844 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2026-03-06 12:33:08,886 log 41892 39632 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2026-03-06 12:33:45,165 log 41892 39632 "GET /admin/trendsync/buyer/ HTTP/1.1" 200 16024
INFO 2026-03-06 12:33:45,209 log 41892 39632 "GET /static/admin/css/changelists.css HTTP/1.1" 200 7498
INFO 2026-03-06 12:33:45,297 log 41892 9016 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-03-06 12:33:45,329 log 41892 41844 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-03-06 12:33:45,337 log 41892 36936 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-03-06 12:33:45,341 log 41892 39632 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-03-06 12:33:45,345 log 41892 39632 "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-03-06 12:33:45,348 log 41892 13164 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-03-06 12:33:45,408 log 41892 24316 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-03-06 12:33:45,454 log 41892 36936 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-03-06 12:33:45,465 log 41892 9016 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-03-06 12:33:45,586 log 41892 41844 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-03-06 12:33:45,591 log 41892 41844 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-03-06 12:33:45,648 log 41892 41844 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-03-06 12:33:52,396 log 41892 41844 "GET /admin/trendsync/seller/ HTTP/1.1" 200 17008
INFO 2026-03-06 12:33:52,412 log 41892 41844 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-03-06 12:33:52,462 log 41892 41844 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-03-06 12:34:11,069 log 41892 41844 "GET /admin/trendsync/buyer/ HTTP/1.1" 200 16024
INFO 2026-03-06 12:34:11,086 log 41892 41844 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-03-06 12:34:17,166 log 41892 21064 "POST /api/login/ HTTP/1.1" 200 582
INFO 2026-03-06 12:34:17,182 log 41892 21064 "GET /api/cart/items/ HTTP/1.1" 200 77
INFO 2026-03-06 12:34:17,251 log 41892 21064 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:17,273 log 41892 41072 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:17,283 log 41892 41072 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:17,297 log 41892 21064 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:17,310 log 41892 41072 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:17,475 log 41892 21064 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:17,486 log 41892 21064 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:17,501 log 41892 41072 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:17,516 log 41892 21064 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:17,525 log 41892 21064 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:17,868 log 41892 10320 "GET /media/quickdeals/0ac3ddd60590b73a4f70791e95b6dd42.jpg HTTP/1.1" 304 0
INFO 2026-03-06 12:34:17,868 log 41892 6456 "GET /media/products/0a967922e19eb7d22aae18f1c2b98afe.jpg HTTP/1.1" 304 0
INFO 2026-03-06 12:34:17,869 log 41892 6952 "GET /media/quickdeals/0ac658891f0fb946167a4347a944f1db.jpg HTTP/1.1" 304 0
INFO 2026-03-06 12:34:36,115 log 41892 21064 "OPTIONS /api/quick-deals/1/view/ HTTP/1.1" 200 0
INFO 2026-03-06 12:34:36,789 log 41892 21064 "POST /api/quick-deals/1/view/ HTTP/1.1" 200 61
INFO 2026-03-06 12:34:36,858 log 41892 7508 "GET /api/products/1/comments/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:36,867 log 41892 1216 "GET /api/products/1/ HTTP/1.1" 200 761
INFO 2026-03-06 12:34:36,875 log 41892 4416 "GET /api/products/1/comments/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:36,883 log 41892 28112 "GET /api/products/1/related/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:36,886 log 41892 32588 "GET /api/products/1/ HTTP/1.1" 200 761
INFO 2026-03-06 12:34:36,888 log 41892 16900 "GET /api/products/1/related/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:36,907 log 41892 10580 "GET /media/products/0a967922e19eb7d22aae18f1c2b98afe.jpg HTTP/1.1" 304 0
INFO 2026-03-06 12:34:42,537 log 41892 10580 "GET /media/products/1c2c19b1a858f52a1fb8232aff0b63f4.jpg HTTP/1.1" 200 38138
INFO 2026-03-06 12:34:43,213 log 41892 10580 "GET /media/products/1aea64f50e711f0c77861dccf89c9749.jpg HTTP/1.1" 200 39699
INFO 2026-03-06 12:34:46,415 log 41892 21064 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:46,446 log 41892 41072 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:46,448 log 41892 21064 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:46,484 log 41892 9136 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:46,488 log 41892 21064 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:46,525 log 41892 41072 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:46,526 log 41892 21064 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:46,553 log 41892 41072 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:46,554 log 41892 9136 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:46,585 log 41892 6456 "GET /media/quickdeals/0ac658891f0fb946167a4347a944f1db.jpg HTTP/1.1" 304 0
INFO 2026-03-06 12:34:46,609 log 41892 9136 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:47,788 log 41892 27504 "GET /api/products/?ordering=-like_count HTTP/1.1" 200 763
INFO 2026-03-06 12:34:47,802 log 41892 39608 "GET /api/products/?ordering=-like_count HTTP/1.1" 200 763
INFO 2026-03-06 12:34:48,689 log 41892 9136 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:48,715 log 41892 9136 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:48,719 log 41892 41072 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:48,746 log 41892 41072 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:48,753 log 41892 9136 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:48,760 log 41892 41072 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:48,769 log 41892 21064 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:48,771 log 41892 9136 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:48,795 log 41892 21064 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:48,816 log 41892 21064 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:49,371 log 41892 24160 "GET /api/products/?ordering=-like_count HTTP/1.1" 200 763
INFO 2026-03-06 12:34:49,388 log 41892 4760 "GET /api/products/?ordering=-like_count HTTP/1.1" 200 763
INFO 2026-03-06 12:34:51,403 log 41892 21064 "GET /api/cart/items/ HTTP/1.1" 200 77
INFO 2026-03-06 12:34:51,428 log 41892 21064 "GET /api/cart/items/ HTTP/1.1" 200 77
INFO 2026-03-06 12:34:51,451 log 41892 21064 "GET /api/cart/items/ HTTP/1.1" 200 77
INFO 2026-03-06 12:34:51,470 log 41892 21064 "GET /api/cart/items/ HTTP/1.1" 200 77
INFO 2026-03-06 12:34:52,748 log 41892 21064 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:52,772 log 41892 9136 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:52,784 log 41892 21064 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:34:52,801 log 41892 41072 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:52,801 log 41892 13224 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:52,820 log 41892 13224 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:52,820 log 41892 9136 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:34:52,838 log 41892 21064 "GET /api/quick-deals/ HTTP/1.1" 200 2390
INFO 2026-03-06 12:34:52,858 log 41892 13224 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:52,881 log 41892 13224 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:34:54,208 log 41892 13224 "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
INFO 2026-03-06 12:34:54,793 log 41892 13224 "POST /api/cart/add/ HTTP/1.1" 200 63
INFO 2026-03-06 12:34:54,813 log 41892 13224 "GET /api/cart/items/ HTTP/1.1" 200 864
INFO 2026-03-06 12:34:56,620 log 41892 13224 "GET /api/cart/items/ HTTP/1.1" 200 864
INFO 2026-03-06 12:34:56,644 log 41892 13224 "GET /api/cart/items/ HTTP/1.1" 200 864
INFO 2026-03-06 12:34:56,668 log 41892 13224 "GET /api/cart/items/ HTTP/1.1" 200 864
INFO 2026-03-06 12:34:56,695 log 41892 13224 "GET /api/cart/items/ HTTP/1.1" 200 864
INFO 2026-03-06 12:35:05,403 log 41892 13224 "OPTIONS /api/cart/update/1/ HTTP/1.1" 200 0
INFO 2026-03-06 12:35:05,865 log 41892 13224 "PUT /api/cart/update/1/ HTTP/1.1" 200 104
INFO 2026-03-06 12:35:07,603 log 41892 13224 "OPTIONS /api/orders/create-from-cart/ HTTP/1.1" 200 0
INFO 2026-03-06 12:35:08,116 views 41892 13224 Temporary address created for buyer 1
INFO 2026-03-06 12:35:09,183 log 41892 13224 "POST /api/orders/create-from-cart/ HTTP/1.1" 201 14
INFO 2026-03-06 12:35:09,190 log 41892 13224 "OPTIONS /api/payments/initiate/ HTTP/1.1" 200 0
INFO 2026-03-06 12:35:09,194 views 41892 13224 Payment initiation by user 2
INFO 2026-03-06 12:35:09,273 views 41892 13224 No IPN ID found, registering new IPN URL
INFO 2026-03-06 12:35:09,274 pesapal_utils 41892 13224 Requesting new access token from Pesapal
INFO 2026-03-06 12:35:11,419 pesapal_utils 41892 13224 Access token obtained successfully
INFO 2026-03-06 12:35:11,425 pesapal_utils 41892 13224 Registering IPN URL: https://subordinative-phyliss-hemispherically.ngrok-free.dev/api/payments/ipn/
INFO 2026-03-06 12:35:13,052 pesapal_utils 41892 13224 IPN registered successfully, ipn_id: f14212b4-078d-4ae3-9038-dab181ebe23f
INFO 2026-03-06 12:35:13,161 views 41892 13224 IPN registered, ipn_id=f14212b4-078d-4ae3-9038-dab181ebe23f
INFO 2026-03-06 12:35:13,162 pesapal_utils 41892 13224 Submitting order: ref=1, amount=33.00 UGX
INFO 2026-03-06 12:35:14,785 pesapal_utils 41892 13224 Full response from Pesapal: {'error': {'error_type': 'duplicate_order_reference', 'code': 'missing_unique_id', 'message': 'You have not provided a unique request ID. Please check ID value in your POST data.'}, 'status': '500'}
ERROR 2026-03-06 12:35:14,785 views 41892 13224 Pesapal submit error for order 1: Pesapal error: Unknown error
Traceback (most recent call last):
  File "C:\Users\Wor Joshi\Documents\GitHub\trendsync\trendsync\views.py", line 843, in initiate_payment
    pesapal_response = pesapal_utils.submit_order_request(
